respondent_id,variant,answer_a,answer_b,answer_c,answer_d,answer_e,completion_minutes,BR
1,A,Not at all interested,Yes,No,Yes,Credit card,13.2,0
2,A,Somewhat interested,Yes,No,Yes,Debit card,11.4,1
3,A,Somewhat interested,No,Yes,No,Debit card,8.7,0
4,A,Somewhat interested,Yes,No,Yes,Debit card,18.5,0
5,A,Somewhat interested,Yes,No,Yes,Credit card,16.1,0
6,A,Slightly interested,Yes,No,Yes,Credit card,7,0
7,A,Not at all interested,Yes,No,Yes,Debit card,12.3,0
8,A,Not at all interested,No,Yes,No,Debit card,20.1,0
9,A,Very interested,Yes,No,Yes,Debit card,14.3,0
10,A,Very interested,Yes,No,Yes,BNPL,2.8,1
11,A,Not at all interested,No,Yes,No,Cash,16,0
12,A,Somewhat interested,Yes,No,Yes,Cash,12.2,0
13,A,Somewhat interested,Yes,No,Yes,Cash,5.3,0
14,A,Somewhat interested,Yes,No,Yes,Cash,17.6,0
15,A,Not at all interested,Yes,No,Yes,Credit card,8.9,0
16,A,Somewhat interested,Yes,No,Yes,Debit card,8.1,0
17,A,Somewhat interested,No,Yes,No,Debit card,17.2,0
18,A,Somewhat interested,Yes,No,Yes,Debit card,8.7,0
19,A,Somewhat interested,Yes,No,Yes,Credit card,3.3,0
20,A,Slightly interested,Yes,No,Yes,Credit card,17.8,0
21,A,Not at all interested,Yes,No,Yes,Debit card,8.6,0
22,A,Not at all interested,No,No,No,Debit card,7,0
23,A,Very interested,Yes,No,Yes,Debit card,13.6,0
24,A,Very interested,No,No,No,BNPL,10.4,0
25,A,Somewhat interested,No,Yes,No,Cash,1.6,1
26,A,Slightly interested,Yes,No,Yes,Cash,13.9,0
27,A,Not at all interested,Yes,No,Yes,Cash,21,0
28,A,Not at all interested,No,Yes,No,Cash,12.9,0
29,A,Somewhat interested,Yes,No,Yes,Credit card,17.1,0
30,A,Somewhat interested,Yes,No,Yes,Debit card,16,0
31,A,Somewhat interested,Yes,No,Yes,Debit card,16.7,0
32,A,Somewhat interested,Yes,No,Yes,Debit card,6.9,1
33,A,Slightly interested,No,Yes,No,Credit card,11.7,0
34,A,Not at all interested,Yes,No,No,Credit card,18.1,0
35,A,Not at all interested,Yes,No,Yes,Debit card,6.6,0
36,A,Very interested,No,No,Yes,Debit card,18.7,0
37,A,Very interested,Yes,No,Yes,Debit card,11.5,0
38,A,Very interested,Yes,No,Yes,BNPL,3.1,1
39,A,Very interested,Yes,No,Yes,Cash,18,0
40,A,Not at all interested,Yes,Yes,Yes,Cash,11.6,0
41,A,Somewhat interested,Yes,No,Yes,Cash,20.7,0
42,A,Somewhat interested,No,No,No,Cash,10.2,0
43,A,Somewhat interested,Yes,No,Yes,Credit card,18.6,0
44,A,Somewhat interested,Yes,No,Yes,Debit card,7.4,1
45,A,Slightly interested,Yes,No,Yes,Debit card,12.6,0
46,A,Not at all interested,Yes,No,Yes,Debit card,8.3,0
47,A,Not at all interested,No,Yes,No,Credit card,15,0
48,A,Somewhat interested,Yes,No,Yes,Credit card,8.2,0
49,A,Somewhat interested,Yes,No,Yes,Debit card,17.6,0
50,A,Somewhat interested,Yes,No,Yes,Debit card,13.1,0
51,A,Somewhat interested,Yes,No,Yes,Debit card,4.8,1
52,A,Slightly interested,No,Yes,No,BNPL,19.6,0
53,A,Not at all interested,Yes,No,Yes,Cash,13.1,0
54,A,Not at all interested,Yes,No,Yes,Cash,6.9,0
55,A,Not at all interested,No,No,Yes,Cash,3.6,1
56,A,Somewhat interested,Yes,No,Yes,Cash,18.8,0
57,A,Somewhat interested,Yes,No,Yes,Debit card,21.3,0
58,A,Somewhat interested,Yes,Yes,Yes,BNPL,13.4,0
59,A,Somewhat interested,Yes,No,Yes,Cash,7.6,0
60,A,Slightly interested,Yes,No,Yes,Cash,9.6,0
61,A,Not at all interested,No,Yes,No,Cash,19.5,0
62,A,Not at all interested,Yes,No,Yes,Cash,10.9,0
63,A,Somewhat interested,Yes,No,Yes,Credit card,7.6,0
64,A,Somewhat interested,Yes,No,Yes,Debit card,16.5,0
65,A,Somewhat interested,Yes,No,Yes,Debit card,1.6,1
66,A,Somewhat interested,No,Yes,No,Debit card,18.8,0
67,A,Slightly interested,Yes,No,Yes,Credit card,8.1,0
68,A,Not at all interested,No,Yes,No,Credit card,2.7,1
69,A,Not at all interested,No,No,No,Debit card,14.4,0
70,A,Very interested,Yes,No,No,Debit card,3.8,0
71,A,Very interested,Yes,No,Yes,Debit card,10.8,0
72,A,Very interested,No,No,Yes,BNPL,12.2,0
73,A,Not at all interested,Yes,Yes,Yes,Cash,6.8,1
74,A,Somewhat interested,Yes,No,Yes,Cash,5,0
75,A,Somewhat interested,Yes,No,Yes,Cash,15.5,0
76,A,Somewhat interested,Yes,No,Yes,Cash,5.7,0
77,A,Somewhat interested,No,Yes,No,Debit card,19.6,0
78,A,Not at all interested,Yes,No,Yes,BNPL,4.1,1
79,A,Somewhat interested,Yes,No,Yes,Cash,7.3,0
80,A,Somewhat interested,No,Yes,No,Cash,5,0
81,A,Somewhat interested,Yes,No,Yes,Cash,6.8,0
82,A,Somewhat interested,Yes,No,Yes,Cash,11.3,0
83,A,Slightly interested,Yes,No,Yes,Credit card,10.2,0
84,A,Not at all interested,Yes,No,Yes,Debit card,18.4,0
85,A,Not at all interested,Yes,No,Yes,Debit card,11.5,0
86,A,Very interested,No,No,No,Debit card,3.6,0
87,A,Very interested,Yes,No,Yes,Credit card,8.5,0
88,A,Not at all interested,Yes,Yes,Yes,Credit card,9.4,0
89,A,Somewhat interested,Yes,No,No,Debit card,20.3,0
90,A,Somewhat interested,Yes,No,Yes,Debit card,4.4,1
91,A,Somewhat interested,No,Yes,Yes,Debit card,17.3,0
92,A,Somewhat interested,Yes,No,Yes,BNPL,11.2,0
93,A,Not at all interested,No,Yes,No,Cash,17.2,0
94,A,Somewhat interested,No,Yes,No,Cash,10.2,0
95,A,Somewhat interested,Yes,No,Yes,Cash,12.4,0
96,A,Somewhat interested,Yes,No,Yes,Cash,12.7,0
97,A,Somewhat interested,No,Yes,No,Credit card,17.9,0
98,A,Slightly interested,Yes,No,Yes,Debit card,12.4,0
99,A,Not at all interested,Yes,No,Yes,Debit card,7.5,1
100,A,Not at all interested,Yes,No,Yes,Debit card,13.2,0
101,A,Not at all interested,Yes,No,Yes,Credit card,10.1,0
102,A,Somewhat interested,No,No,No,Credit card,6.8,1
103,A,Somewhat interested,Yes,No,Yes,Debit card,4.9,0
104,A,Somewhat interested,Yes,No,Yes,Debit card,12.7,0
105,A,Somewhat interested,No,No,No,Debit card,8.9,0
106,A,Slightly interested,Yes,Yes,Yes,BNPL,20.4,0
107,A,Not at all interested,Yes,No,Yes,Cash,17.3,0
108,A,Not at all interested,Yes,No,Yes,Cash,8.1,0
109,A,Very interested,Yes,No,Yes,Cash,7,1
110,A,Very interested,Yes,No,Yes,Cash,11.8,0
111,A,Not at all interested,No,Yes,No,Credit card,13.2,0
112,A,Somewhat interested,Yes,No,Yes,Debit card,18.2,0
113,A,Somewhat interested,Yes,No,Yes,Debit card,5.6,0
114,A,Somewhat interested,Yes,No,Yes,Debit card,19.2,0
115,A,Not at all interested,Yes,No,Yes,Credit card,3.2,0
116,A,Somewhat interested,No,Yes,No,Credit card,9.6,0
117,A,Somewhat interested,Yes,No,Yes,Debit card,11.1,0
118,A,Somewhat interested,No,Yes,Yes,Debit card,20,0
119,A,Somewhat interested,No,Yes,No,Debit card,2.3,0
120,A,Slightly interested,Yes,No,Yes,BNPL,11,0
121,A,Not at all interested,Yes,Yes,Yes,Cash,3.5,1
122,A,Not at all interested,No,Yes,No,Cash,4.2,0
123,A,Very interested,Yes,Yes,Yes,Cash,12.5,0
124,A,Very interested,Yes,Yes,Yes,Cash,3.4,0
125,A,Somewhat interested,Yes,Yes,Yes,Credit card,2.9,0
126,A,Slightly interested,Yes,Yes,Yes,Debit card,17.3,0
127,A,Not at all interested,No,Yes,No,Debit card,5.9,0
128,A,Not at all interested,Yes,No,Yes,Debit card,4.4,1
129,A,Somewhat interested,Yes,No,Yes,Credit card,12.1,0
130,B,Somewhat interested,No,Yes,Yes,Credit card,11.1,0
131,B,Somewhat interested,Yes,No,No,Debit card,7.9,0
132,B,Somewhat interested,Yes,No,Yes,Debit card,15.2,1
133,B,Slightly interested,Yes,No,Yes,Debit card,14.8,0
134,B,Not at all interested,Yes,No,Yes,BNPL,20.8,0
135,B,Not at all interested,Yes,No,Yes,Cash,8.3,0
136,B,Very interested,No,Yes,No,Cash,20.5,0
137,B,Very interested,Yes,No,Yes,Cash,8.7,1
138,B,Very interested,Yes,No,Yes,Cash,14.2,0
139,B,Very interested,Yes,No,Yes,Credit card,13,0
140,B,Not at all interested,Yes,No,Yes,Debit card,3.5,0
141,B,Somewhat interested,Yes,No,Yes,Debit card,14.3,0
142,B,Somewhat interested,Yes,No,Yes,Debit card,19,0
143,B,Somewhat interested,No,Yes,No,Credit card,13.7,0
144,B,Somewhat interested,Yes,No,Yes,Credit card,13.5,0
145,B,Slightly interested,Yes,No,Yes,Debit card,5.3,1
146,B,Not at all interested,Yes,No,Yes,Debit card,20.7,0
147,B,Not at all interested,Yes,No,Yes,Credit card,13.7,0
148,B,Somewhat interested,No,Yes,Yes,Debit card,1.8,0
149,B,Somewhat interested,Yes,No,No,Debit card,20.8,0
150,B,Somewhat interested,Yes,No,Yes,Debit card,11.4,0
151,B,Somewhat interested,No,Yes,Yes,Credit card,7.3,0
152,B,Slightly interested,Yes,No,Yes,Credit card,18.3,0
153,B,Not at all interested,Yes,No,Yes,Debit card,5.3,0
154,B,Not at all interested,Yes,No,Yes,Debit card,8.8,1
155,B,Not at all interested,Yes,No,Yes,Debit card,2.5,0
156,B,Somewhat interested,Yes,No,Yes,BNPL,15.7,0
157,B,Somewhat interested,Yes,No,Yes,Cash,18.2,0
158,B,Somewhat interested,Yes,No,Yes,Cash,14.4,0
159,B,Somewhat interested,No,Yes,No,Cash,16.4,0
160,B,Slightly interested,Yes,No,Yes,Cash,6.1,0
161,B,Not at all interested,Yes,Yes,Yes,Credit card,13.5,0
162,B,Not at all interested,Yes,No,Yes,Debit card,5.2,0
163,B,Somewhat interested,Yes,No,Yes,Debit card,1.7,1
164,B,Somewhat interested,No,Yes,No,Debit card,7.6,1
165,B,Somewhat interested,Yes,No,Yes,Credit card,18.3,0
166,B,Somewhat interested,Yes,No,Yes,Credit card,14.9,0
167,B,Slightly interested,No,Yes,No,Debit card,20.7,0
168,B,Not at all interested,Yes,No,Yes,Debit card,10.3,0
169,B,Not at all interested,Yes,No,Yes,Debit card,10.3,0
170,B,Very interested,Yes,No,Yes,BNPL,20.5,0
171,B,Very interested,Yes,No,Yes,Cash,12.4,0
172,B,Very interested,Yes,Yes,Yes,Cash,18.4,0
173,B,Not at all interested,No,Yes,No,Cash,14.2,0
174,B,Somewhat interested,Yes,Yes,Yes,Cash,12.6,0
175,B,Somewhat interested,Yes,Yes,Yes,Credit card,15.2,0
176,B,Somewhat interested,Yes,Yes,Yes,Debit card,20.6,0
177,B,Somewhat interested,Yes,No,Yes,Debit card,15.8,0
178,B,Not at all interested,No,Yes,No,Debit card,2.7,0
179,B,Somewhat interested,Yes,No,Yes,Credit card,2,1
180,B,Somewhat interested,Yes,No,Yes,Credit card,20.8,0
181,B,Somewhat interested,No,Yes,No,Debit card,21.2,0
182,B,Somewhat interested,Yes,No,Yes,Debit card,2.5,0
183,B,Slightly interested,Yes,No,Yes,Debit card,6.4,0
184,B,Not at all interested,Yes,No,Yes,BNPL,19.1,0
185,B,Not at all interested,Yes,No,No,Cash,21.3,0
186,B,Very interested,No,Yes,Yes,Cash,12.6,0
187,B,Very interested,Yes,No,Yes,Cash,15.8,0
188,B,Not at all interested,Yes,No,Yes,Cash,6.8,0
189,B,Somewhat interested,No,Yes,No,Credit card,3.3,1
190,B,Somewhat interested,Yes,No,Yes,Debit card,17.9,0
191,B,Somewhat interested,Yes,No,Yes,Debit card,15.8,0
192,B,Somewhat interested,Yes,No,Yes,Debit card,11.4,0
193,B,Not at all interested,Yes,No,Yes,Credit card,8.2,0
194,B,Somewhat interested,Yes,No,Yes,Credit card,8.5,0
195,B,Somewhat interested,No,Yes,No,Debit card,17,0
196,B,Somewhat interested,Yes,No,Yes,Debit card,13.8,1
197,B,Somewhat interested,Yes,No,Yes,Debit card,12.1,0
198,B,Slightly interested,Yes,No,Yes,Debit card,6.1,0
199,B,Not at all interested,Yes,No,Yes,Debit card,15.2,0
